rep,two_stage_cot,best_of_n,t0,tmax,experiment,csv_score_mean,csv_score_std,csv_score_min,csv_score_max,text_score_mean,text_score_std,text_score_min,text_score_max,bleu_mean,bleu_std,bleu_min,bleu_max,spice_mean,spice_std,spice_min,spice_max,best_score_mean,best_score_std,best_score_min,best_score_max,n_tests
2,True,2,0.0,0.15,rep2_tstrue_bon2_t0_tmax0p15,0.47331245009520295,0.5029463991266774,0.0,1.0,0.23641028098035757,0.26307463383150137,0.0,0.7340441979572936,0.18374852288867613,0.2233482469119198,0.0,0.6109455387717302,0.2890720390720391,0.33201117448689466,0.0,0.8571428571428571,0.7097227310755607,0.6100721287855986,0.0,1.7340441979572936,11
2,True,3,0.0,0.15,rep2_tstrue_bon3_t0_tmax0p15,0.4791666666666667,0.5038911092686593,0.0,1.0,0.4152505923292629,0.28257998909142495,0.008012653910648143,0.7709723313682506,0.3371305030525501,0.27538029654872986,0.016025307821296287,0.7419446627365011,0.49337068160597575,0.3234964954092029,0.0,0.8571428571428571,0.9314542960329667,0.5788672747739338,0.3552314312936365,1.7709723313682506,11
3,False,1,0.0,0.15,rep3_tsfalse_bon1_t0_tmax0p15,0.2833333333333333,0.416110740246089,0.0,1.0,0.29526897030753807,0.26647138169571427,1.1461721342858937e-05,0.7157776185897019,0.23386733523479325,0.24081752629864608,2.2923442685717873e-05,0.6639762881157338,0.35667060538028283,0.30639980571012326,0.0,0.8000000000000002,0.645268970307538,0.6115492597380339,1.1461721342858937e-05,1.7157776185897018,11
3,False,2,0.0,0.15,rep3_tsfalse_bon2_t0_tmax0p15,0.2833333333333333,0.416110740246089,0.0,1.0,0.30219103804251124,0.2738982858206052,1.1461721342858937e-05,0.7565877837896628,0.23247533367614986,0.23981414073718543,2.2923442685717873e-05,0.6560327104364686,0.37190674240887267,0.31998386425822434,0.0,0.8571428571428571,0.6521910380425113,0.6170655248080172,1.1461721342858937e-05,1.7157776185897018,11
3,False,3,0.0,0.15,rep3_tsfalse_bon3_t0_tmax0p15,0.35333333333333333,0.3947807642880436,0.0,1.0,0.32662749658413104,0.2536621340876648,0.004402590516025314,0.7565877837896628,0.24710682477023044,0.22852168615766422,0.008805181032050628,0.6560327104364686,0.40614816839803175,0.29159828001417926,0.0,0.8571428571428571,0.7466274965841311,0.5624782391965425,0.004402590516025314,1.7157776185897018,11
3,True,1,0.0,0.15,rep3_tstrue_bon1_t0_tmax0p15,0.375,0.5175491695067657,0.0,1.0,0.3501350028932903,0.27879674877532534,0.0,0.7340441979572936,0.2667926632366574,0.2539502620061786,0.0,0.6109455387717302,0.4334773425499232,0.3399593158095517,0.0,0.8571428571428571,0.7251350028932904,0.6173378729557356,0.0,1.7340441979572936,11
3,True,2,0.0,0.15,rep3_tstrue_bon2_t0_tmax0p15,0.4534917840375587,0.48128409480619005,0.0,1.0,0.2306887664816736,0.24615973576271827,0.0,0.7340441979572936,0.1711236702242217,0.21357525303465183,0.0,0.6109455387717302,0.29025386273912546,0.3103645297904007,0.0,0.8571428571428571,0.750847217185899,0.5282002015288092,0.06320184851422453,1.7340441979572936,11
3,True,3,0.0,0.15,rep3_tstrue_bon3_t0_tmax0p15,0.35011792452830187,0.46036585654364953,0.0,1.0,0.32277922147934024,0.27144967428615163,0.0013150052476969467,0.7393251340793363,0.25863934764944513,0.24580529551612232,0.0026300104953938933,0.6786502681586726,0.3869190953092353,0.32469109131031787,0.0,0.8571428571428571,0.7728971460076421,0.4928654826622259,0.2807366412357294,1.7340441979572936,11
4,False,1,0.0,0.15,rep4_tsfalse_bon1_t0_tmax0p15,0.2833333333333333,0.416110740246089,0.0,1.0,0.29526897030753807,0.26647138169571427,1.1461721342858937e-05,0.7157776185897019,0.23386733523479325,0.24081752629864608,2.2923442685717873e-05,0.6639762881157338,0.35667060538028283,0.30639980571012326,0.0,0.8000000000000002,0.645268970307538,0.6115492597380339,1.1461721342858937e-05,1.7157776185897018,11
4,False,2,0.0,0.15,rep4_tsfalse_bon2_t0_tmax0p15,0.2833333333333333,0.416110740246089,0.0,1.0,0.31535977898278994,0.24871924968101275,0.00309850566199484,0.7157776185897019,0.23404895258529707,0.24062217809969588,0.0018390969477240892,0.6639762881157338,0.3966706053802828,0.27960112147060606,0.0,0.8000000000000002,0.66535977898279,0.5909488814271537,0.00309850566199484,1.7157776185897018,11
4,False,3,0.0,0.15,rep4_tsfalse_bon3_t0_tmax0p15,0.28333545591021886,0.416109134429783,0.0,1.0,0.2979630777221024,0.264772983053157,0.0045093618997077,0.7157776185897019,0.23497377449182383,0.2396186510729265,0.0090187237994154,0.6639762881157338,0.360952380952381,0.30491476362016684,0.0,0.8000000000000002,0.647965200298988,0.6108518397057665,0.0045093618997077,1.7157776185897018,11
4,True,1,0.0,0.15,rep4_tstrue_bon1_t0_tmax0p15,0.375,0.5175491695067657,0.0,1.0,0.3501350028932903,0.27879674877532534,0.0,0.7340441979572936,0.2667926632366574,0.2539502620061786,0.0,0.6109455387717302,0.4334773425499232,0.3399593158095517,0.0,0.8571428571428571,0.7251350028932904,0.6173378729557356,0.0,1.7340441979572936,11
4,True,2,0.0,0.15,rep4_tstrue_bon2_t0_tmax0p15,0.3641025641025641,0.4812459175266785,0.0,1.0,0.32759292415824315,0.2697516580204717,0.0,0.7340441979572936,0.2493542403109653,0.24228466479914307,0.0,0.6109455387717302,0.40583160800552104,0.32924765480110546,0.0,0.8571428571428571,0.7287325252978444,0.5672636008547673,0.0,1.7340441979572936,11
4,True,3,0.0,0.15,rep4_tstrue_bon3_t0_tmax0p15,0.3333333333333333,0.5,0.0,1.0,0.3679357922982645,0.24767364017696353,0.008012653910648143,0.7340441979572936,0.2765373006143577,0.23176918376978792,0.016025307821296287,0.6109455387717302,0.45933428398217135,0.30607369543645857,0.0,0.8571428571428571,0.7383061626686349,0.5353143499337775,0.2508691598882702,1.7340441979572936,11
